date,open,high,low,close,volume
2019-08-16,126500,128000,125000,128000,352114
2019-08-19,127500,129500,127500,128000,242024
2019-08-20,127500,128500,125000,126500,481643
2019-08-21,126500,127500,124000,125500,530685
2019-08-22,126000,126500,124000,124000,480559
2019-08-23,123000,126000,123000,126000,256322
2019-08-26,124000,126000,123500,124500,391828
2019-08-27,125000,126500,124000,125000,1043657
2019-08-28,128500,130500,127000,127500,766622
2019-08-29,127500,128000,126000,126500,393472
2019-08-30,127500,129000,127000,128500,433515
2019-09-02,128000,132000,127500,131000,385326
2019-09-03,131500,132000,127500,128500,505454
2019-09-04,128000,129000,127000,128500,496326
2019-09-05,128000,129000,127000,128000,478990
2019-09-06,128000,128500,126500,127500,380856
2019-09-09,127500,128500,126000,127000,378542
2019-09-10,127000,128500,126500,128000,458487
2019-09-11,128500,129000,127500,129000,756459
2019-09-16,128500,129500,126000,128000,777956
2019-09-17,127500,128000,125500,126000,610086
2019-09-18,126000,128500,125500,127500,537604
2019-09-19,127500,129000,126500,129000,618746
2019-09-20,128500,130500,128000,129500,718752
2019-09-23,129500,133500,129000,133000,1007214
2019-09-24,134000,135000,132000,134000,615506
2019-09-25,133000,135000,131500,134500,448004
2019-09-26,136000,136500,132000,133000,453068
2019-09-27,134000,134000,131000,133500,348902
2019-09-30,133500,135500,133000,134000,429631
2019-10-01,134000,134000,131500,132500,388512
2019-10-02,131000,131500,128000,128500,448012
2019-10-04,129500,130000,126500,126500,488988
2019-10-07,128000,129000,127000,128000,258951
2019-10-08,128000,130500,127500,129500,391115
2019-10-10,127000,128000,125500,126500,771396
2019-10-11,127000,127500,126000,126000,369552
2019-10-14,125000,126000,122000,122000,1260866
2019-10-15,122000,123000,120500,122000,661262
2019-10-16,123000,124000,122000,123000,433874
2019-10-17,123000,124500,122000,123000,519468
2019-10-18,123500,124500,122500,123000,418395
2019-10-21,124000,124000,122000,122000,372561
2019-10-22,121500,122500,120000,122000,523445
2019-10-23,121500,122500,120500,121000,511570
2019-10-24,121000,122500,120000,122000,655232
2019-10-25,122000,124000,121500,123500,983777
2019-10-28,124500,125000,121500,121500,564300
2019-10-29,122000,123000,121500,122500,797389
2019-10-30,122500,123000,121500,122500,400285
2019-10-31,122500,123500,121500,122000,441488
2019-11-01,121500,124000,121000,124000,470554
2019-11-04,123500,125000,123000,124000,475831
2019-11-05,124000,125500,124000,125000,471601
2019-11-06,125500,126000,123500,123500,682414
2019-11-07,123500,124500,123000,123500,853783
2019-11-08,124000,124500,123500,124000,335809
2019-11-11,124000,124500,123500,123500,370258
2019-11-12,123500,125500,123500,125500,598855
2019-11-13,125000,126000,124500,124500,528121
2019-11-14,125000,125000,124000,124500,540352
2019-11-15,124500,125500,124000,125500,469109
2019-11-18,125000,126000,124500,126000,596279
2019-11-19,125000,126000,124500,125000,537780
2019-11-20,124500,124500,123500,124500,593391
2019-11-21,124000,124500,123000,124500,724349
2019-11-22,124000,125500,123500,123500,707333
2019-11-25,124000,125500,123500,125000,640837
2019-11-26,124500,125500,122500,122500,1854318
2019-11-27,123000,124000,123000,123500,697261
2019-11-28,123500,125000,123000,124000,742295
2019-11-29,123500,124500,120000,121000,1016506
2019-12-02,121000,121500,118500,121500,862135
2019-12-03,120000,121500,119000,121500,849994
2019-12-04,120000,124000,120000,122000,1498918
2019-12-05,121500,122500,117500,118000,1560647
2019-12-06,118500,119500,118000,118500,1504634
2019-12-09,119500,120500,119000,119500,902113
2019-12-10,119500,120500,119000,120000,784383
2019-12-11,120500,120500,119000,119000,1015977
2019-12-12,119500,120500,119000,120000,5201616
2019-12-13,121500,122500,119500,121000,1058172
2019-12-16,120500,121000,119000,119000,1015046
2019-12-17,119500,123000,119000,122000,1904603
2019-12-18,122000,123500,120500,123000,1135407
2019-12-19,122500,123500,122000,123500,905299
2019-12-20,124000,124000,122500,124000,1001899
2019-12-23,124000,125000,122000,122500,1462906
2019-12-24,123000,123000,121500,122000,600726
2019-12-26,122500,123000,121500,122500,552469
2019-12-27,121000,121000,120000,120500,422565
2019-12-30,120500,121500,120000,120500,467794
2020-01-02,121000,121000,118000,118000,556532
2020-01-03,118500,119000,115000,116000,1145187
2020-01-06,116000,117000,115500,116000,334574
2020-01-07,116500,117000,115500,115500,674196
2020-01-08,115000,115500,111500,112000,1044825
2020-01-09,113000,114500,110000,111500,1375510
2020-01-10,112500,114500,112000,113500,896507
2020-01-13,113500,115500,113000,115000,692917
2020-01-14,115500,117000,115500,116000,739959
2020-01-15,116000,116000,114000,115000,564142
2020-01-16,117000,120000,116500,118500,1638719
2020-01-17,118500,120000,118000,118500,574301
2020-01-20,119500,119500,117500,118000,445922
2020-01-21,118000,118500,116500,117000,545156
2020-01-22,117500,127000,117500,127000,2773421
2020-01-23,130000,131500,128000,130500,2492785
2020-01-28,127000,132500,127000,131000,1841752
2020-01-29,132000,133000,129000,131000,1318578
2020-01-30,130000,130500,126500,127500,1034661
2020-01-31,128500,129500,124500,125000,1035126
2020-02-03,123000,125000,121000,123500,1270442
2020-02-04,123500,126000,122500,124000,1203992
2020-02-05,125000,126000,123500,124000,1032267
2020-02-06,125500,133000,125500,132000,1659774
2020-02-07,130500,131000,127500,131000,999598
2020-02-10,129500,132000,129000,130000,669628
2020-02-11,131000,135000,130500,132500,949247
2020-02-12,132500,137500,132500,136000,1373302
2020-02-13,137000,137500,133000,133000,1035208
2020-02-14,132500,135000,131500,133500,591584
2020-02-17,133500,136000,132500,135500,555451
2020-02-18,134000,134500,131000,132500,744150
2020-02-19,133000,134000,130500,131500,776121
2020-02-20,132500,133000,129000,130000,711858
2020-02-21,128000,129500,127000,128000,686417
2020-02-24,124500,125000,122000,122500,911932
2020-02-25,122500,124500,122000,122500,796176
2020-02-26,121000,124000,120000,122500,1001834
2020-02-27,122500,123500,120000,121000,779402
2020-02-28,118500,119000,114000,115000,1777353
2020-03-02,116000,116000,113000,113500,1183337
2020-03-03,116000,116500,112000,112500,1414986
2020-03-04,112000,114000,112000,113000,1319901
2020-03-05,115500,116000,113000,114000,1135241
2020-03-06,113000,113500,110000,110500,1746834
2020-03-09,108000,108000,103500,104000,1658544
2020-03-10,102500,105000,101000,102000,2491487
2020-03-11,103000,103000,99700,100000,2005654
2020-03-12,100000,100500,94500,95000,2312355
2020-03-13,86500,90200,83500,87200,4835445
2020-03-16,88300,89500,82900,82900,2674557
2020-03-17,78100,83400,78100,80100,2492208
2020-03-18,80500,81200,73500,73500,2679420
2020-03-19,75000,75900,65100,65900,3138004
2020-03-20,67500,72400,65000,71100,3349914
2020-03-23,67200,71000,66200,68900,2391540
2020-03-24,71500,75800,69800,74800,2856282
2020-03-25,79800,85600,78800,84500,4604452
2020-03-26,85800,90200,82300,84900,3787074
2020-03-27,89700,90000,84500,86400,2513938
2020-03-30,82800,86400,82100,85400,1743720
2020-03-31,87700,88700,86000,88700,2138183
2020-04-01,88500,90100,85300,85400,2139848
2020-04-02,85300,86800,83000,86600,1487243
2020-04-03,86600,87000,85600,86300,1170052
2020-04-06,86500,88800,85900,88800,1688599
2020-04-07,92100,92500,88600,90400,2601711
2020-04-08,89800,91900,88900,90000,1785939
2020-04-09,92300,97900,91100,97100,3787201
2020-04-10,97400,101500,96200,99700,2806785
2020-04-13,98800,99000,97400,97800,1339638
2020-04-14,98600,101500,97700,100000,1582587
2020-04-16,98900,100500,98300,99100,1341452
2020-04-17,101000,103500,100000,100500,1487879
2020-04-20,100000,100500,97100,97600,2142176
2020-04-21,96100,96500,91300,93500,3634142
2020-04-22,90800,95200,89400,92600,3115871
2020-04-23,93700,95100,92100,92400,3196313
2020-04-24,91300,92300,90100,90100,2135488
2020-04-27,90300,92500,90200,91600,1219677
2020-04-28,92500,94400,92200,93200,1448692
2020-04-29,93500,94000,92400,93600,1193284
2020-05-04,91100,92900,90700,91500,1264378
2020-05-06,93300,94200,92600,93200,1039600
2020-05-07,92800,93000,91800,92600,826239
2020-05-08,93000,95400,93000,94500,1749677
2020-05-11,95800,96500,93500,93700,1889278
2020-05-12,93200,93800,91100,91900,1259874
2020-05-13,90500,93100,90500,93100,966892
2020-05-14,92600,92900,91500,92300,982612
2020-05-15,92000,92700,91200,92300,822472
2020-05-18,92100,92200,91000,91900,741214
2020-05-19,95000,99400,94700,99100,4564370
2020-05-20,98000,98300,96300,97300,1828158
2020-05-21,98600,98700,96600,97200,1471917
2020-05-22,97100,97200,94000,94500,1619476
2020-05-25,94900,96200,94000,96000,1185541
2020-05-26,96000,99500,95500,98000,1591937
